timestamp,value
1679526000,457.825
1679526120,455.9333333333334
1679526240,453.77500000000003
1679526360,453.65000000000003
1679526480,452.95
1679526600,452.95
1679526720,451.2916666666667
1679526840,451.93333333333334
1679526960,451.425
1679527080,450.4666666666667
1679527200,449.3333333333333
1679527320,449.5
1679527440,449.5
1679527560,447.6666666666667
1679527680,447
1679527800,445.1666666666667
1679527920,444.6666666666667
1679528040,443.3333333333333
1679528160,443.3333333333333
1679528280,443.3333333333333
1679528400,443.8333333333333
1679528520,443.8333333333333
1679528640,444
1679528760,443.1666666666667
1679528880,443.5
1679529000,443
1679529120,441.6666666666667
1679529240,434.3333333333333
1679529360,431.6666666666667
1679529480,428.8333333333333
1679529600,429.1666666666667
1679529720,431
1679529840,430
1679529960,431.1666666666667
1679530080,431.3333333333333
1679530200,431.6666666666667
1679530320,433.5
1679530440,432.3333333333333
1679530560,433.1666666666667
1679530680,433.3333333333333
1679530800,433.6666666666667
1679530920,433.5
1679531040,432.6666666666667
1679531160,433
1679531280,432.8333333333333
1679531400,432.8333333333333
1679531520,433.6666666666667
1679531640,433
1679531760,431.1666666666667
1679531880,431.6666666666667
1679532000,430.5
1679532120,430.8333333333333
1679532240,431.3333333333333
1679532360,429.5
1679532480,430.8333333333333
1679532600,429
1679532720,428.6666666666667
1679532840,429
1679532960,429.3333333333333
1679533080,429.3333333333333
1679533200,429
1679533320,429
1679533440,429.1666666666667
1679533560,429.3333333333333
1679533680,429
1679533800,428.5
1679533920,429.5
1679534040,427.3333333333333
1679534160,426.8333333333333
1679534280,427.1666666666667
1679534400,426.6666666666667
1679534520,426.1666666666667
1679534640,426
1679534760,424.6666666666667
1679534880,425.5
1679535000,425.6666666666667
1679535120,425.3333333333333
1679535240,424.8333333333333
1679535360,424.5
1679535480,424.6666666666667
1679535600,424.3333333333333
1679535720,422.6666666666667
1679535840,423.3333333333333
1679535960,423
1679536080,422.5
1679536200,421
1679536320,421.5
1679536440,421.5
1679536560,421.6666666666667
1679536680,421.1666666666667
1679536800,421.5
1679536920,421.3333333333333
1679537040,420.8333333333333
1679537160,421
1679537280,421
1679537400,420.6666666666667
1679537520,420.5
1679537640,421
1679537760,421.1666666666667
1679537880,422
1679538000,420
1679538120,419
1679538240,419
1679538360,418.6666666666667
1679538480,419
1679538600,419.3333333333333
1679538720,419
1679538840,418.8333333333333
1679538960,419.3333333333333
1679539080,420
1679539200,419
1679539320,418.8333333333333
1679539440,420
1679539560,419
1679539680,419.3333333333333
1679539800,419.3333333333333
1679539920,419.1666666666667
1679540040,419.1666666666667
1679540160,419
1679540280,419.3333333333333
1679540400,419.3333333333333
1679540520,417
1679540640,417.1666666666667
1679540760,417.1583333333333
1679540880,416.65000000000003
1679541000,417.8333333333333
1679541120,417.6666666666667
1679541240,415.3
1679541360,415.4750000000001
1679541480,414.44166666666666
1679541600,415.3
1679541720,416.31666666666666
1679541840,417.3333333333333
1679541960,416.65000000000003
1679542080,415.9666666666667
1679542200,414.8083333333334
1679542320,413.61666666666673
1679542440,415.125
1679542560,416.31666666666666
1679542680,415.3
1679542800,414.95
1679542920,414.24999999999994
1679543040,414.6333333333334
1679543160,414.95
1679543280,414.6166666666666
1679543400,414.95000000000005
1679543520,415.3
1679543640,413.4416666666666
1679543760,415.3
1679543880,414.59999999999997
1679544000,414.80833333333334
1679544120,415.65000000000003
1679544240,415.30833333333334
1679544360,414.95
1679544480,415.3
1679544600,414.9666666666667
1679544720,415.125
1679544840,414.98333333333335
1679544960,414.9666666666667
1679545080,412.95
1679545200,412.95000000000005
1679545320,413.26666666666665
1679545440,413.2666666666666
1679545560,413.5833333333333
1679545680,414.2833333333333
1679545800,413.9583333333333
1679545920,413.26666666666665
1679546040,412.2833333333333
1679546160,412.6333333333334
1679546280,413.6166666666666
1679546400,413.7916666666667
1679546520,414.125
1679546640,414.2833333333333
1679546760,415.4750000000001
1679546880,413.93333333333334
1679547000,413.9666666666667
1679547120,414.59999999999997
1679547240,415.1416666666666
1679547360,415.6333333333334
1679547480,413.9666666666667
1679547600,413.42499999999995
1679547720,413.90000000000003
1679547840,413.1083333333333
1679547960,412.125
1679548080,413.5833333333333
1679548200,413.42499999999995
1679548320,412.47499999999997
1679548440,411.3
1679548560,411.4750000000001
1679548680,412.09166666666664
1679548800,412.95
1679548920,413.29999999999995
1679549040,413.26666666666665
1679549160,412.9166666666667
1679549280,413.1083333333333
1679549400,413.26666666666665
1679549520,413.26666666666665
1679549640,413.24999999999994
1679549760,413.26666666666665
1679549880,411.9666666666667
1679550000,410.6166666666666
1679550120,411.4750000000001
1679550240,411.3
1679550360,411.4750000000001
1679550480,412.14166666666665
1679550600,410.59999999999997
1679550720,410.95
1679550840,411.3
1679550960,411.3
1679551080,411.65000000000003
1679551200,410.95
1679551320,411.3
1679551440,411.47499999999997
1679551560,411.3
1679551680,410.6333333333334
1679551800,411.3
1679551920,411.125
1679552040,411.6166666666666
1679552160,410.9666666666667
1679552280,411.65000000000003
1679552400,410.59999999999997
1679552520,411.65000000000003
1679552640,410.6333333333334
1679552760,412
1679552880,411.4583333333333
1679553000,413.425
1679553120,419.3333333333333
1679553240,427.5
1679553360,431.8333333333333
1679553480,431.3333333333333
1679553600,433
1679553720,432
1679553840,430
1679553960,428.8333333333333
1679554080,429.5
1679554200,440
1679554320,446.4916666666666
1679554440,455.125
1679554560,458
1679554680,454.80833333333334
1679554800,457.64166666666665
1679554920,489
1679555040,524.1583333333333
1679555160,566.6666666666666
1679555280,584
